40.440309,-80,115.74
40.440271,-80.0068,119.24
40.440229,-80.0067,118.96
40.440189,-80.0066,118.68
40.440146,-80.0065,118.4
40.440095,-80,118.12
40.440054,-80.0062,117.84
40.440009,-80.006,117.56
40.439962,-80.006,117.27
40.439914,-80.0058,116.99
40.439866,-80.0057,116.71
40.439818,-80.0056,116.43
40.439769,-80.0054,116.15
40.43972,-80.0053,115.87
40.439672,-80.0052,115.59
40.439605,-80.005,115.31
40.439524,-80.0048,115.02
40.439475,-80.004,114.74
40.439428,-80.0045,114.46
40.439381,-80.0044,114.18
40.439334,-80.0043,113.9
40.43929,-80.0042,113.62
40.439246,-80.004,113.34
40.4392,-80.0039,113.06
40.439157,-80.0038,112.77
40.439115,-80.0037,112.49
40.439064,-80.0036,112.21
40.439008,-80.0034,111.93
40.438959,-80.0033,111.65
40.438908,-80.0031,111.37
40.438859,-80.003,111.09
40.438815,-80.0029,110.81
40.438776,-80.0028,110.52
40.438732,-80.0026,110.24
40.438692,-80.0025,109.96
40.438648,-80.0024,109.68
40.438607,-80.0023,109.4
40.438559,-80.0022,109.12
40.438507,-80.002,108.84
40.438459,-80.0019,108.56
40.439079,-80.0053,117.54
40.439025,-80.005,121.04
40.438926,-80.005,120.76
40.438885,-80.0049,120.48
40.438836,-80.004,120.2
40.438792,-80.0046,119.92
40.438674,-80.0047,119.64
40.438594,-80.0048,119.36
40.438364,-80.0049,119.07
40.438535,-80.004,117.77
40.43846,-80.0038,121.27
40.438417,-80.0037,120.99
40.438369,-80.0035,120.71
40.438327,-80.0034,120.43
40.438285,-80.0033,120.15
40.438243,-80.0032,119.87
40.438198,-80.003,119.59
40.43815,-80.003,119.3
40.438106,-80.002,119.02
40.438064,-80.0027,118.74
40.438017,-80.0026,118.46
40.437976,-80.0025,118.18
40.437928,-80.0024,117.9
40.437883,-80.0023,117.62
40.437832,-80.0021,117.34
40.43779,-80.002,117.05
40.437748,-80.0019,116.77
40.437704,-80.0018,116.49
40.437658,-80.0016,116.21
40.437619,-80.001,115.93
40.440054,-80.0047,114.02
40.439982,-80.0045,117.52
40.439937,-80.0044,117.24
40.439886,-80.0042,116.96
40.439843,-80.0041,116.68
40.439802,-80.004,116.4
40.439748,-80.003,116.12
40.439698,-80,115.84
40.439652,-80.0036,115.55
40.439608,-80.0035,115.27
40.439563,-80.003,114.99
40.439516,-80.0033,114.71
